"filename", "language", "JavaScript", "HTML", "JSON", "SVG", "CSS", "comment", "blank", "total"
"d:\shared\battleship_game\src\js\renderDOM\gameLogic\handlePlacement\preventClickHumanBoard.js", "JavaScript", 16, 0, 0, 0, 0, 3, 1, 20
"d:\shared\battleship_game\src\js\renderDOM\gameLogic\handlePlacement\toggleShipRotation.js", "JavaScript", 11, 0, 0, 0, 0, 4, 1, 16
"d:\shared\battleship_game\src\js\renderDOM\gameLogic\playSoundEffects.js", "JavaScript", 10, 0, 0, 0, 0, 1, 2, 13
"d:\shared\battleship_game\src\js\renderDOM\gameLogic\restartGame.js", "JavaScript", 6, 0, 0, 0, 0, 0, 2, 8
"d:\shared\battleship_game\src\js\renderDOM\gameLogic\startGame.js", "JavaScript", 81, 0, 0, 0, 0, 7, 7, 95
"d:\shared\battleship_game\src\js\renderDOM\gameLogic\updateShipStatus.js", "JavaScript", 16, 0, 0, 0, 0, 3, 8, 27
"d:\shared\battleship_game\src\js\renderDOM\gameLogic\updateTurnIndicator.js", "JavaScript", 8, 0, 0, 0, 0, 2, 1, 11
"d:\shared\battleship_game\src\js\renderDOM\helperFunctions\helperFunctionsClass.js", "JavaScript", 99, 0, 0, 0, 0, 13, 15, 127
"d:\shared\battleship_game\src\js\renderDOM\initGame\init.js", "JavaScript", 11, 0, 0, 0, 0, 4, 2, 17
"d:\shared\battleship_game\src\js\renderDOM\initGame\initGame.js", "JavaScript", 7, 0, 0, 0, 0, 4, 2, 13
"d:\shared\battleship_game\src\main.js", "JavaScript", 8, 0, 0, 0, 0, 1, 3, 12
"d:\shared\battleship_game\src\styles\font-styles.css", "CSS", 0, 0, 0, 0, 216, 0, 19, 235
"d:\shared\battleship_game\src\styles\styles.css", "CSS", 0, 0, 0, 0, 932, 14, 150, 1096
"d:\shared\battleship_game\vite.config.js", "JavaScript", 80, 0, 0, 0, 0, 16, 10, 106
"Total", "-", 895, 13, 4263, 66782, 1148, 161, 6937, 80199
